Owner,Schedule,Location,Day of Week,Start,End,Total Hours,Total Requests,Requests
ns812,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:45:00,4.00,27,"dhl45 (1), bnd21 (1), ak1024 (1), kak336 (1), ib142 (3), sm1574 (1), mi159 (1), bah123 (1), am1505 (1), jmo185 (5), aza12 (1), da392 (3), alg163 (2), ag1200 (1), psc66 (4), ny76 (1), dja145 (1), jb1339 (5), nrs100 (1), ajh223 (1), ogb4 (3), jc2004 (5), adb185 (1), ry137 (2), tje42 (5), ns812 (1), rp660 (2)"
evp14,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:45:00,4.00,16,"dmd349 (4), ak1024 (1), sm1574 (1), mi159 (1), jmo185 (5), evp14 (3), aza12 (1), alg163 (2), ag1200 (1), psc66 (4), sks183 (5), jb1339 (5), nrs100 (1), dfr49 (5), ajh223 (3), ry137 (1)"
ec681,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:00:00,3.25,25,"dmd349 (4), bnd21 (4), ak1024 (1), ib142 (3), sm1574 (1), mi159 (1), bah123 (1), jy415 (2), jmo185 (5), evp14 (2), aza12 (1), da392 (3), alg163 (2), ag1200 (1), psc66 (4), ny76 (1), dja145 (1), jb1339 (5), sbc90 (5), nrs100 (1), ec681 (2), ajh223 (4), jc2004 (5), ry137 (2), tje42 (5)"
cjk171,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:00:00,3.25,19,"dmd349 (4), ak1024 (1), sm1574 (1), mi159 (1), jy415 (2), jmo185 (5), evp14 (3), aza12 (1), alg163 (2), ag1200 (1), psc66 (4), sks183 (5), ny76 (1), jb1339 (5), nrs100 (1), dfr49 (5), ogb4 (3), cjk171 (3), ry137 (3)"
dfd43,BUS-LSM-Cons,NB: Labs: Busch Campus,Saturday,2016-12-10 12:00:00,2016-12-10 15:00:00,3.00,16,"dfd43 (1), dmd349 (4), ak1024 (1), ib142 (2), sm1574 (1), mi159 (4), jy415 (3), jmo185 (5), wowchoi (1), alg163 (2), psc66 (2), knt35 (1), ny76 (1), jb1339 (5), nrs100 (1), ajh223 (2)"
aac177,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 12:00:00,2016-09-24 15:30:00,3.50,26,"dfd43 (1), bnd21 (1), ak1024 (1), kak336 (1), ib142 (3), sm1574 (1), mi159 (1), bah123 (1), am1505 (1), aza12 (1), da392 (3), alg163 (1), ag1200 (1), psc66 (1), ny76 (1), dja145 (3), jb1339 (5), nrs100 (1), aac177 (1), ajh223 (4), jc2004 (4), adb185 (3), ry137 (2), tje42 (1), ns812 (1), rp660 (4)"
jc2004,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:00:00,2016-09-24 17:30:00,3.50,26,"dfd43 (1), dmd349 (4), bnd21 (4), ak1024 (1), ib142 (3), sm1574 (1), mi159 (1), bah123 (1), jy415 (3), aza12 (1), da392 (3), alg163 (2), ag1200 (1), psc66 (1), knt35 (2), ny76 (1), jb1339 (5), sbc90 (2), nrs100 (2), cjk171 (2), jc2004 (1), adb185 (4), ry137 (1), tje42 (4), ns812 (4), cjp175 (2)"
nrs100,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:00:00,2016-09-24 17:30:00,3.50,19,"dfd43 (1), dmd349 (4), bnd21 (2), ak1024 (1), sm1574 (1), mi159 (1), jy415 (3), aza12 (1), alg163 (2), ag1200 (1), psc66 (3), sks183 (5), ny76 (1), jb1339 (5), nrs100 (2), dfr49 (5), cjk171 (1), ry137 (4), cjp175 (3)"
psc66,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:45:00,2016-09-24 18:00:00,3.25,18,"dfd43 (2), dmd349 (4), bnd21 (1), ak1024 (1), sm1574 (1), mi159 (1), pm521 (2), aza12 (1), alg163 (2), ag1200 (1), psc66 (3), sks183 (5), jb1339 (5), nrs100 (2), dfr49 (5), cjk171 (5), ry137 (4), cjp175 (3)"
ab1395,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:45:00,2016-09-24 18:00:00,3.25,27,"dfd43 (2), dmd349 (4), bnd21 (3), ak1024 (1), ib142 (3), sm1574 (1), mi159 (1), pm521 (1), bah123 (1), aza12 (1), da392 (3), alg163 (2), ag1200 (1), psc66 (1), ab1395 (1), knt35 (2), ny76 (3), yk390 (2), jb1339 (5), sbc90 (2), nrs100 (2), ogb4 (2), jc2004 (1), ry137 (1), tje42 (4), ns812 (4), cjp175 (2)"
wowchoi,BUS-LSM-Cons,NB: Labs: Busch Campus,Saturday,2016-12-10 15:00:00,2016-12-10 18:00:00,3.00,13,"dfd43 (2), dmd349 (4), ak1024 (1), ib142 (2), sm1574 (1), mi159 (4), wowchoi (1), alg163 (2), psc66 (2), knt35 (1), jb1339 (5), nrs100 (2), cjp175 (5)"
cjp175,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 15:30:00,2016-09-24 18:30:00,3.00,24,"dfd43 (2), dmd349 (4), bnd21 (3), ak1024 (1), ib142 (3), sm1574 (1), mi159 (1), bah123 (1), aza12 (1), da392 (3), alg163 (1), ag1200 (1), psc66 (1), knt35 (2), ny76 (3), yk390 (3), jb1339 (5), sbc90 (3), nrs100 (2), jc2004 (1), ry137 (1), tje42 (1), ns812 (4), cjp175 (2)"
ak1024,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 17:30:00,2016-09-24 22:00:00,4.50,16,"ak1024 (1), ib142 (3), mi159 (1), bah123 (5), jy415 (4), kt306 (2), aza12 (1), da392 (3), alg163 (1), ag1200 (1), psc66 (1), jb1339 (5), sbc90 (4), nrs100 (3), jc2004 (4), tje42 (3)"
kt306,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 17:30:00,2016-09-24 22:00:00,4.50,13,"ak1024 (1), mi159 (1), kt306 (1), aza12 (1), alg163 (2), ag1200 (1), psc66 (3), sks183 (5), jb1339 (5), nrs100 (3), dfr49 (5), ry137 (3), tje42 (3)"
ry137,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:00:00,2016-09-24 22:00:00,4.00,15,"ak1024 (1), mi159 (1), pm521 (2), kt306 (1), aza12 (1), alg163 (2), ag1200 (1), psc66 (3), sks183 (5), ny76 (3), jb1339 (5), nrs100 (3), dfr49 (5), ry137 (1), tje42 (3)"
pm521,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:00:00,2016-09-24 22:00:00,4.00,16,"ak1024 (1), ib142 (3), mi159 (1), pm521 (3), bah123 (5), kt306 (2), aza12 (1), da392 (3), alg163 (1), ag1200 (1), psc66 (1), jb1339 (5), sbc90 (4), nrs100 (3), jc2004 (4), tje42 (2)"
tje42,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:30:00,2016-09-24 22:00:00,3.50,14,"ak1024 (1), ib142 (3), mi159 (1), kt306 (2), aza12 (1), da392 (3), alg163 (1), ag1200 (1), psc66 (1), jb1339 (5), sbc90 (4), nrs100 (3), jc2004 (4), tje42 (1)"
da392,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:45:00,4.00,24,"dfd43 (1), dmd349 (4), ak1024 (1), kak336 (4), cws66 (1), ib142 (3), sm1574 (1), mi159 (1), bah123 (1), kt306 (2), aza12 (1), da392 (3), alg163 (2), ag1200 (1), dja145 (1), jb1339 (5), sbc90 (5), nrs100 (1), ajh223 (1), mwa27 (1), jc2004 (5), ry137 (4), ns812 (4), cso29 (3)"
mwa27,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:00:00,3.25,28,"dfd43 (1), dmd349 (4), ak1024 (1), kak336 (4), cws66 (1), ib142 (3), sm1574 (1), mi159 (1), bah123 (1), jy415 (3), kt306 (2), aza12 (1), da392 (3), alg163 (2), ag1200 (1), ny76 (1), dja145 (1), jb1339 (5), sbc90 (5), nrs100 (1), ec681 (2), ajh223 (4), ogb4 (5), mwa27 (1), jc2004 (5), ry137 (4), ns812 (4), cso29 (3)"
ajh223,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:45:00,4.00,20,"dfd43 (1), dmd349 (4), ak1024 (1), kak336 (4), cws66 (2), sm1574 (1), mi159 (1), kt306 (1), rt448 (1), aza12 (1), alg163 (2), ag1200 (1), sks183 (5), jb1339 (5), nrs100 (1), dfr49 (5), ajh223 (3), mwa27 (3), ry137 (1), dtc77 (3)"
ny76,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:00:00,3.25,20,"dmd349 (4), ak1024 (1), kak336 (4), cws66 (2), sm1574 (1), mi159 (1), jy415 (2), kt306 (1), rt448 (1), aza12 (1), alg163 (2), ag1200 (1), sks183 (5), ny76 (1), jb1339 (5), nrs100 (1), dfr49 (5), mwa27 (3), ry137 (3), dtc77 (3)"
dfd43,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 12:00:00,2016-12-11 15:00:00,3.00,19,"dfd43 (1), dmd349 (4), ak1024 (1), kak336 (1), cws66 (2), ib142 (2), sm1574 (1), mi159 (4), jy415 (4), rt448 (1), rnp56 (1), alg163 (2), cds167 (1), knt35 (1), ny76 (1), jb1339 (5), nrs100 (1), ajh223 (2), dtc77 (2)"
