netID,location,start,end
yuky,BUS-BEST-Sups,2016-09-24 10:45:00,2016-09-24 11:45:00
freematt,BUS-ARC-Sups,2016-09-24 10:45:00,2016-09-24 14:45:00
yuky,BUS-ARC-Sups,2016-09-24 11:45:00,2016-09-24 14:45:00
nm542,BUS-ARC-Sups,2016-09-25 10:45:00,2016-09-25 17:15:00
mv378,BUS-BEST-Sups,2016-09-25 10:45:00,2016-09-25 11:45:00
mv378,BUS-ARC-Sups,2016-09-25 11:45:00,2016-09-25 18:15:00
ps635,BUS-BEST-Sups,2016-09-25 14:00:00,2016-09-25 22:00:00
cmd363,BUS-BEST-Sups,2016-09-26 08:00:00,2016-09-26 09:00:00
yuky,BUS-ARC-Sups,2016-09-26 08:00:00,2016-09-26 14:30:00
mac693,BUS-ARC-Sups,2016-09-26 08:00:00,2016-09-26 13:00:00
cmd363,BUS-ARC-Sups,2016-09-26 09:00:00,2016-09-26 13:00:00
mp1202,BUS-ARC-Sups,2016-09-26 11:00:00,2016-09-26 14:00:00
nm542,BUS-ARC-Sups,2016-09-26 13:00:00,2016-09-26 17:00:00
amk276,BUS-ARC-Sups,2016-09-26 14:00:00,2016-09-26 21:00:00
rlf92,BUS-ARC-Sups,2016-09-26 14:30:00,2016-09-26 17:00:00
mv378,BUS-ARC-Sups,2016-09-26 16:00:00,2016-09-26 19:30:00
mp1202,BUS-ARC-Sups,2016-09-26 17:00:00,2016-09-26 22:00:00
rlf92,BUS-ARC-Sups,2016-09-26 19:30:00,2016-09-26 22:00:00
mp1202,BUS-ARC-Sups,2016-09-27 08:00:00,2016-09-27 13:30:00
mv378,BUS-ARC-Sups,2016-09-27 08:00:00,2016-09-27 15:00:00
mac693,BUS-BEST-Sups,2016-09-27 08:00:00,2016-09-27 09:00:00
mac693,BUS-ARC-Sups,2016-09-27 09:00:00,2016-09-27 12:30:00
amk276,BUS-ARC-Sups,2016-09-27 10:30:00,2016-09-27 16:30:00
cmd363,BUS-ARC-Sups,2016-09-27 12:30:00,2016-09-27 17:00:00
freematt,BUS-ARC-Sups,2016-09-27 13:30:00,2016-09-27 22:00:00
rlf92,BUS-ARC-Sups,2016-09-27 16:30:00,2016-09-27 22:00:00
yuky,BUS-ARC-Sups,2016-09-27 17:00:00,2016-09-27 20:00:00
mv378,BUS-ARC-Sups,2016-09-28 08:00:00,2016-09-28 11:45:00
rlf92,BUS-BEST-Sups,2016-09-28 08:00:00,2016-09-28 09:00:00
rlf92,BUS-ARC-Sups,2016-09-28 09:00:00,2016-09-28 11:00:00
freematt,BUS-ARC-Sups,2016-09-28 10:00:00,2016-09-28 14:00:00
mac693,BUS-ARC-Sups,2016-09-28 11:00:00,2016-09-28 16:00:00
mp1202,BUS-ARC-Sups,2016-09-28 11:45:00,2016-09-28 14:15:00
yuky,BUS-ARC-Sups,2016-09-28 14:00:00,2016-09-28 19:45:00
cmd363,BUS-ARC-Sups,2016-09-28 17:00:00,2016-09-28 22:00:00
mp1202,BUS-ARC-Sups,2016-09-28 18:15:00,2016-09-28 22:00:00
yuky,BUS-ARC-Sups,2016-09-29 08:00:00,2016-09-29 14:00:00
mp1202,BUS-BEST-Sups,2016-09-29 08:00:00,2016-09-29 09:00:00
cmd363,BUS-ARC-Sups,2016-09-29 08:00:00,2016-09-29 17:00:00
mp1202,BUS-ARC-Sups,2016-09-29 09:00:00,2016-09-29 13:30:00
amk276,BUS-ARC-Sups,2016-09-29 13:30:00,2016-09-29 16:45:00
nm542,BUS-ARC-Sups,2016-09-29 16:30:00,2016-09-29 22:00:00
rlf92,BUS-ARC-Sups,2016-09-29 16:45:00,2016-09-29 22:00:00
yuky,BUS-ARC-Sups,2016-09-29 17:00:00,2016-09-29 20:00:00
mv378,BUS-ARC-Sups,2016-09-30 08:00:00,2016-09-30 11:00:00
freematt,BUS-BEST-Sups,2016-09-30 08:00:00,2016-09-30 09:00:00
freematt,BUS-ARC-Sups,2016-09-30 09:00:00,2016-09-30 11:30:00
mac693,BUS-ARC-Sups,2016-09-30 11:00:00,2016-09-30 14:00:00
nm542,BUS-ARC-Sups,2016-09-30 12:00:00,2016-09-30 16:00:00
freematt,BUS-ARC-Sups,2016-09-30 13:30:00,2016-09-30 18:00:00
amk276,BUS-ARC-Sups,2016-09-30 14:00:00,2016-09-30 18:00:00
rlf92,BUS-ARC-Sups,2016-09-30 15:00:00,2016-09-30 18:00:00
