Owner,Schedule,Location,Day of Week,Start,End
ns812,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:45:00
evp14,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:45:00
ec681,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:00:00
cjk171,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:00:00
dfd43,BUS-LSM-Cons,NB: Labs: Busch Campus,Saturday,2016-12-10 12:00:00,2016-12-10 15:00:00
aac177,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 12:00:00,2016-09-24 15:30:00
jc2004,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:00:00,2016-09-24 17:30:00
nrs100,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:00:00,2016-09-24 17:30:00
psc66,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:45:00,2016-09-24 18:00:00
ab1395,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:45:00,2016-09-24 18:00:00
wowchoi,BUS-LSM-Cons,NB: Labs: Busch Campus,Saturday,2016-12-10 15:00:00,2016-12-10 18:00:00
cjp175,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 15:30:00,2016-09-24 18:30:00
ak1024,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 17:30:00,2016-09-24 22:00:00
kt306,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 17:30:00,2016-09-24 22:00:00
ry137,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:00:00,2016-09-24 22:00:00
pm521,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:00:00,2016-09-24 22:00:00
tje42,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:30:00,2016-09-24 22:00:00
da392,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:45:00
mwa27,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:00:00
ajh223,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:45:00
ny76,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:00:00
dfd43,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 12:00:00,2016-12-11 15:00:00
rep100,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 12:00:00,2016-09-25 15:30:00
cds167,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:00:00,2016-09-25 17:30:00
jy415,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:00:00,2016-09-25 17:30:00
ab1395,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:45:00,2016-09-25 18:00:00
aza12,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:45:00,2016-09-25 18:00:00
dmd349,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 15:00:00,2016-12-11 18:00:00
knt35,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 15:30:00,2016-09-25 18:30:00
js1691,BUS-ARC-Disp,NB: Labs: Busch Campus,Sunday,2016-09-25 16:00:00,2016-09-25 19:45:00
cws66,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 17:30:00,2016-09-25 21:30:00
ogb4,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 17:30:00,2016-09-25 21:30:00
dmd349,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 18:00:00,2016-12-11 21:00:00
ety6,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 18:00:00,2016-09-25 22:00:00
am1505,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 18:00:00,2016-09-25 22:00:00
alg163,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 18:30:00,2016-09-25 22:30:00
bnd21,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 21:00:00,2016-12-12 00:00:00
ec681,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 21:30:00,2016-09-26 02:00:00
kak336,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 21:30:00,2016-09-26 02:00:00
cso29,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 22:00:00,2016-09-26 02:00:00
aza12,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 22:00:00,2016-09-26 02:00:00
rc864,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 22:30:00,2016-09-26 02:00:00
adb185,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:30:00
rp660,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:45:00
et247,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:45:00
ogb4,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:30:00
cws66,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:15:00,2016-09-26 10:45:00
mwa27,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:15:00,2016-09-26 10:00:00
kak336,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 10:00:00,2016-12-12 14:00:00
bah123,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 10:00:00,2016-09-26 12:30:00
jmo185,BUS-ARC-Disp,NB: Labs: Busch Campus,Monday,2016-09-26 10:00:00,2016-09-26 13:30:00
am1505,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 10:45:00,2016-09-26 13:15:00
lcn16,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:30:00,2016-09-26 15:00:00
ij38,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:30:00,2016-09-26 15:00:00
